Intercept,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
1,1360,2,1,1981,0.5996366396268326,0,5,262382.8522740563
1,4272,3,3,2016,4.7530138494020395,1,6,985260.854490162
1,3592,1,2,2016,3.634822720478255,0,9,777977.3901185812
1,966,1,2,1977,2.73066687604351,1,8,229698.9186636115
1,4926,2,1,1993,4.699072554837388,0,8,1041740.8589249004
1,3944,5,3,1990,2.475930043628728,2,8,879796.9835223783
1,3671,1,2,2012,4.911960066216673,0,1,814427.8614089885
1,3419,1,1,1972,2.805281407595683,1,1,703413.1109446795
1,630,3,3,1997,1.0142859649909075,1,8,173875.03721558454
1,2185,4,2,1981,3.9416043760667474,2,5,504176.5060593679
1,1269,2,2,2006,3.5550397628502823,1,9,335332.59275293903
1,2891,2,3,1982,3.9784402458751407,0,2,635097.3959198
1,2933,5,3,1973,4.781489129265565,2,9,701133.8041471172
1,1684,5,3,1988,3.9942018619295814,1,8,440726.2848162878
1,3885,2,3,1983,3.251014709974911,1,9,838719.430503504
1,4617,5,1,2005,4.3578900606237845,0,4,1019192.6613592046
1,3404,3,3,1977,3.529608977095392,0,1,735850.8123421574
1,974,2,2,1986,2.336535755716654,2,1,234261.64997473895
1,1582,5,2,1956,4.4852889390879795,1,5,396246.3588887452
1,3058,2,1,2017,1.498552073529678,0,2,672852.0519810001
1,2547,4,2,1986,3.715885737089259,2,8,586086.5685389101
1,3247,1,2,2005,4.467035547233406,1,10,740174.0146550778
1,1475,2,3,2014,3.790924338664833,1,5,370167.09090271546
1,2306,1,2,2014,3.637739385742356,2,5,530824.1967752124
1,689,5,1,1996,3.8868723233232623,2,2,227515.3002879812
1,3234,1,3,1969,2.5927486173528997,0,7,652166.1423658864
1,3505,2,3,1968,4.433768069706617,1,8,745670.6371477235
1,2399,4,1,1978,1.4154641381124105,1,10,513161.95119306416
1,1767,5,3,2009,1.073238872001527,1,1,432357.9061027443
1,2028,2,3,1967,1.784789510533302,2,2,434165.89663405064
1,3702,5,1,1984,2.892098285487469,0,10,809686.201143527
1,4056,3,3,1992,2.7975280793420216,1,4,883819.0911218557
1,4390,1,1,1960,4.1926944095446395,2,5,912468.0479046734
1,1146,3,1,1998,2.3205589538180784,1,2,281313.0614448485
1,3388,2,2,1987,2.679549918311789,0,1,705923.3148916194
1,2935,4,2,2013,0.5601545746672804,1,9,656980.4604282172
1,1100,5,3,2018,2.343826563993226,0,1,318266.2771320871
1,2863,1,3,1957,3.4149840482765392,0,4,582468.7977365239
1,2561,5,1,1983,0.5697874878196648,1,2,541967.633559251
1,741,2,3,1997,1.763968843338097,1,4,188531.42345710634
1,2541,5,1,2005,1.4358036168022548,0,8,565562.7504321395
1,3324,1,1,2014,0.688934430093147,2,8,697574.5556670319
1,3112,2,3,1980,2.6566704046154186,0,9,666733.4734616925
1,1863,5,1,1953,1.3177548195267041,1,5,376388.0216286443
1,1978,4,2,1999,3.8438669283412104,1,7,485380.95019563066
1,3056,2,3,2018,4.315675476935068,2,3,735678.4622017285
1,1275,2,2,1979,2.9551333220111653,0,10,296291.0010075069
1,4514,4,3,2008,4.917683041345137,0,4,1046315.8960136625
1,534,3,1,2016,2.527153571617679,0,10,187508.58531168045
1,3652,1,3,1994,2.81015694601212,1,9,793995.2848757812
1,2455,3,2,1953,4.951479892809876,0,10,527393.5128875901
1,2085,5,1,1975,1.5419679618427198,2,10,467768.122943975
1,4443,4,3,1976,4.741456728546074,1,1,981190.782911222
1,3573,3,3,1995,0.6927689980360097,1,2,750481.7169351575
1,1521,2,3,2013,2.5087410061843767,0,5,377511.26849809097
1,3961,5,2,2000,0.815015804598796,2,3,866877.3524150968
1,3113,5,2,1999,3.7815563431113937,1,2,731331.6610567131
1,4343,3,3,1955,3.23784021146008,1,1,899382.8651584806
1,2000,3,1,2008,3.6798541856041838,0,10,485622.401919989
1,661,4,1,1964,2.1851617998560764,0,3,147601.55157708153
1,4797,1,2,1979,2.162668703141211,2,1,986006.861736761
1,2481,3,1,1991,0.7039367553240257,0,1,509725.550655089
1,1495,3,2,1986,2.074752227883379,2,1,346932.6209008944
1,3842,2,3,1991,4.681797810179267,1,8,863289.3969030941
1,4298,5,2,1984,2.2065194173120206,2,3,919295.8540615214
1,1775,1,2,1955,4.241154677998865,2,1,406069.2709127523
1,1516,2,3,2017,4.290464771374703,2,7,397346.1108776756
1,837,4,1,1967,2.1795852037065524,1,10,191117.1012230497
1,1378,4,2,2022,3.3439490617828507,0,3,384461.3548261602
1,1576,3,2,1978,0.9291722102287638,1,8,340980.72481778456
1,4493,3,3,2008,0.9665536133042443,0,4,951093.5469938467
1,879,4,1,1996,0.7189594864777099,2,4,217010.48526715022
1,992,3,2,1966,3.1145679201879926,2,5,248224.01965609606
1,2562,1,3,1971,2.417319399317437,2,6,538349.0962151848
1,4384,3,2,2017,2.9661456049890806,2,7,985223.9966541852
1,564,5,3,2018,2.8448293572877454,2,4,242865.9315016322
1,3068,3,1,1986,2.0759134599082865,0,8,654466.9454086807
1,2527,2,1,1998,3.548630366705628,0,6,551967.8882668803
1,3195,1,1,1962,3.913258464123758,2,1,663904.9927177994
1,1995,2,1,1983,0.5658271649495408,1,1,397482.74798703607
1,891,2,2,2002,1.4325903489599523,1,9,209632.84147750464
1,4974,5,2,2000,3.7095614063750157,2,10,1107045.062935083
